epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,128.74,1.10593,5.7969,0.02084,0.49982,0.32247,0.36851,0.2666,1.08549,2.07847,0.02923,0.00994924,0.00331641,0.00994924,0.00331641,0.0767851,0.0701523,0.00994924,0.00331641
2,214.91,1.07522,2.88818,0.02021,0.81275,0.79475,0.89628,0.70525,0.77703,0.97336,0.02063,0.0195542,0.00651808,0.0195542,0.00651808,0.0530568,0.0400206,0.0195542,0.00651808
3,296.096,1.1322,1.83482,0.02139,0.74156,0.73902,0.81474,0.597,1.00588,1.14033,0.02789,0.0287632,0.00958775,0.0287632,0.00958775,0.0289325,0.00975695,0.0287632,0.00958775
4,372.429,1.16517,1.43052,0.02226,0.82258,0.86083,0.91855,0.658,1.0919,0.66932,0.02828,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,450.326,1.13409,1.18499,0.02148,0.91165,0.96267,0.97687,0.78206,0.71375,0.41439,0.01837,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,527.946,1.11844,1.06933,0.02097,0.90648,0.94163,0.94994,0.7619,0.7804,0.39532,0.02021,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,604.979,1.1073,0.97502,0.02068,0.94724,0.93517,0.98193,0.82,0.6337,0.37076,0.01666,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,681.933,1.07718,0.92201,0.02007,0.93733,0.96075,0.97237,0.80282,0.69453,0.31878,0.01908,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,758.738,1.07215,0.84574,0.02,0.95555,0.97716,0.97945,0.79781,0.73468,0.29682,0.01899,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,836.245,1.05941,0.8275,0.0196,0.95325,0.96642,0.97241,0.82529,0.61998,0.26417,0.01642,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,913.93,1.0326,0.79997,0.01906,0.97879,0.97517,0.98566,0.79365,0.75044,0.28395,0.01871,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,991.522,1.01501,0.75082,0.01857,0.97819,0.97679,0.99106,0.83516,0.61117,0.24624,0.01588,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1068.94,1.00853,0.73049,0.01839,0.93886,0.95124,0.96761,0.81231,0.62752,0.38892,0.01666,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1146.71,0.984,0.73306,0.01802,0.97457,0.97421,0.9794,0.81146,0.68331,0.25959,0.01713,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1225.05,0.97382,0.71411,0.0178,0.97436,0.9781,0.97467,0.81854,0.65656,0.23571,0.01725,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1304.65,0.97214,0.66973,0.01765,0.97302,0.97544,0.98285,0.83024,0.62154,0.25645,0.01548,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1383.32,0.95683,0.66854,0.01749,0.95538,0.98219,0.98015,0.81636,0.62334,0.30824,0.01568,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1460.22,0.9311,0.65848,0.01662,0.96062,0.98068,0.97549,0.83303,0.57423,0.23138,0.01441,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1534.75,0.93654,0.64882,0.01692,0.98583,0.98114,0.99001,0.83542,0.59432,0.23967,0.01483,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
